Category,Part,Description,Qty,Unit Cost USD,Total Cost USD,Source,Notes
Frame,3/4 inch exterior plywood half sheet,Main deck + side walls + wedge block,1,28.00,28.00,Home Depot,BC exterior grade
Frame,Steel L-brackets 2 inch,Frame corner joints,8,0.88,7.00,Home Depot,
Frame,Wood screws 1.5 inch + carriage bolts assorted bag,Frame fasteners,1,6.00,6.00,Hardware store,
Frame,Rubber U-channel edge trim,Weatherproof all exposed edges - 10 ft,1,6.00,6.00,Amazon,
Frame,Thompsons WaterSeal,Outdoor proof all wood surfaces,1,8.00,8.00,Home Depot / Amazon,Brush on - no paint needed
Frame,Wood glue,Joint reinforcement,1,0.00,0.00,Already owned,
Frame,Zip ties assorted,Cable management + misc securing,1,0.00,0.00,Already owned,
Frame,Sandpaper assorted,Surface prep before sealing,1,0.00,0.00,Already owned,
Steering,Schedule 40 PVC pipe 1 inch x 24 inch,Steering column,1,2.00,2.00,Home Depot,
Steering,PVC fittings elbow + coupler,Column mounting fittings,2,1.00,2.00,Home Depot,
Steering,Heavy-duty 6 inch swivel casters,Front passive-follow wheels,2,7.00,14.00,Harbor Freight,
Steering,6 inch fixed wheel + bolt pivot,Center steering ground wheel,1,8.00,8.00,Amazon,
Steering,Linkage rod + 2 bolts,Connects column bottom to center pivot arm,1,3.00,3.00,Hardware store,5/16 inch threaded rod works
Steering,Plywood wedge block,Tilts column toward driver,1,0.00,0.00,Offcut from frame sheet,Cut diagonally from offcut
Drivetrain,MY1020 48V 1000W BLDC motor,Main drive motor - includes pinion sprocket,1,38.00,38.00,AliExpress,
Drivetrain,Go-kart rear axle kit,Axle + 2 bearing blocks + rear sprocket,1,28.00,28.00,Amazon,
Drivetrain,Number 35 roller chain 3 ft,Motor sprocket to rear axle sprocket,1,8.00,8.00,Amazon,Do NOT 3D print
Drivetrain,6 inch rear wheels,Bolt to axle ends,2,7.00,14.00,Amazon,
Drivetrain,Motor mount angle iron 1.5 inch,Bolts to rear panel and deck,1,4.00,4.00,Home Depot,
Drivetrain,Go-kart band brake + cable,Emergency and parking brake on rear axle,1,15.00,15.00,Amazon,Axle kit may include rotor tab
Electrical,48V 10-15Ah LiFePO4 ebike pack,Pre-built with BMS - check GovDeals WA first,1,40.00,40.00,GovDeals WA / FB Marketplace / eBay,Budget 30-50
Electrical,Kelly KBS48121 ESC,Supports analog throttle + regen brake,1,28.00,28.00,AliExpress,
Electrical,60A fuse + inline holder,Main pack protection,1,4.00,4.00,AliExpress,
Electrical,Main contactor relay,Power on/off via PCB button,1,4.00,4.00,AliExpress,
Electrical,10 AWG silicone wire 10 ft,Battery to ESC to motor,1,7.00,7.00,Amazon,
Electrical,XT60 connectors,Pack + ESC connections,4,0.75,3.00,AliExpress / Amazon,
Electrical,6-wire slip ring,Routes wires through PVC steering column,1,4.00,4.00,AliExpress,
PCB,PCB fabrication 5 pcs,Custom steering wheel PCB,1,2.00,2.00,JLCPCB,Near free on first order
PCB,ESP32-S3 mini,Main MCU - throttle curve + speed + display,1,3.00,3.00,LCSC,
PCB,OLED 128x64 I2C,Shows speed / battery percent / drive mode,1,3.00,3.00,AliExpress,
PCB,Hall analog triggers,Right = throttle / Left = regen brake,2,2.00,4.00,AliExpress,Salvage from donor controller
PCB,AS5600 magnetic encoder,Steering angle sensor on column top,1,2.00,2.00,LCSC,
PCB,Hall speed sensor,Axle speed for auto torque detection,1,1.00,1.00,AliExpress,
PCB,Tactile buttons 6mm,Power + drive mode + spare,4,0.00,0.00,Already owned,
PCB,Buzzer 5V passive,Mode change audio feedback,1,0.00,0.00,Already owned,
PCB,Resistors + capacitors assorted,Pull-ups / decoupling / voltage divider,1,0.00,0.00,Already owned,
PCB,MCP6002 op-amp,Level shift 3.3V to 5V for ESC throttle signal,1,0.50,0.50,LCSC,
Seat,Folding chair,Screws directly to deck,1,3.00,3.00,Facebook Marketplace,Free to 5
Seat,Foam camping pad cut to size,Seat comfort layer,1,6.00,6.00,Walmart,Cut to fit chair seat
Seat,3D printed steering wheel,PETG - 4 to 5 perimeters - design your own grip,1,0.00,0.00,Your printer,Houses PCB + triggers + buttons
